Agency,Sub-contractor,Cluster,Site,Machine,Daily_Capacity,start_date,planned_end_date,expected_end_date,days_to_sept30,"Quantity 
to be remediated in MT","Cumulative Quantity remediated till date 
in MT",Active_site
Tharuni,V.Raju,Eluru,Tadepalligudem,,,,,,,"30,258",0,No
Tharuni,Coastline,Eluru,Vijayawada,,,,,,,,0,No
Tharuni,Coastline,Eluru,Jaggaiahpet,,,,,,,"12,987",0,No
Tharuni,Coastline,Eluru,Kondapalli,,,,,,,"5,000",0,No
Tharuni,Coastline,Eluru,Nandigama,,,,,,,"1,398",0,No
Tharuni,V.Raju,Eluru,Nuzvid,,400,,,,,915,0,No
Tharuni,Coastline,Eluru,Kovvur,,,,,,,915,0,No
Tharuni,Tharuni,Kadapa,Proddatur,,,,,,,"70,730",0,No
Tharuni,Tharuni,Kadapa,Rayachoti,,,,,,,"94,604",0,No
Tharuni,Tharuni,Kadapa,Badvel,,,,,,,"11,926",0,No
Tharuni,Tharuni,Kadapa,Rajampet,,,,,,,"11,800",0,No
Tharuni,Tharuni,Kadapa,Mydukur,,,,,,,"11,244",0,No
Tharuni,Tharuni,Kadapa,Pulivendula,,,,,,,"10,000",0,No
Tharuni,Tharuni,Kadapa,Jammalamadugu,,,,,,,"4,916",0,No
Tharuni,Tharuni,Kadapa,Yerraguntla,,,,,,,"2,021",0,No
Tharuni,Tharuni,Kadapa,Kamalapuram,,,,,,,"1,763",0,No
Tharuni,Srinivas,Hindupur,Hindupur,,,,,,,"49,020",0,No
Tharuni,Srinivas,Hindupur,Dharmavaram,,,,,,,"23,000",3119,Yes
Tharuni,Srinivas,Hindupur,Madakasira,,,,,,,664,664,Yes
Tharuni,Srinivas,Hindupur,Puttaparthy,,,,,,,"10,299",0,No
Tharuni,Srinivas,Hindupur,Kadiri,,,,,,,"20,000",0,No
Tharuni,Srinivas,Hindupur,Penukonda,,,,,,,"14,332","6,329",Yes
Tharuni,Srinivas Shetty,Addanki,Ongole,,900,,,,,"61,929","12,921",Yes
Tharuni,Srinivas Shetty,Addanki,Addanki,,700,,,,,"58,754","6,169",Yes
Tharuni,Srinivas Shetty,Addanki,Markapuram,,700,,,,,"33,877",3214,No
Tharuni,Srinivas Shetty,Addanki,Chirala,,,,,,,"28,392",0,No
Tharuni,Srinivas Shetty,Addanki,Kandukuru,,,,,,,"26,160",0,No
Tharuni,Srinivas Shetty,Addanki,Chimakurthy,,,,,,,"14,459",0,No
Tharuni,Srinivas Shetty,Addanki,Kanigiri,,,,,,,"11,662",0,No
Tharuni,Srinivas Shetty,Addanki,Darsi,,,,,,,"1,602",0,No
Tharuni,Srinivas Shetty,Addanki,Podili,,,,,,,"1,075",0,No
